Red,Green,Blue
0.250,0.500,0.250
0.250,0.500,0.250
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.167,0.500,0.333
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.200,0.600,0.200
0.167,0.500,0.333
0.167,0.500,0.333
0.200,0.600,0.200
0.167,0.500,0.333
0.200,0.600,0.200
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
0.167,0.500,0.333
